taxid	has_assembly	has_annotation	has_reads	genome_size	gc_content
4114	0	0	1		
4115	0	0	1		
4120	1	0	1	837013208	35
4121	1	0	1	194325437	38
4123	1	1	1	1327610284	36.5
4129	0	0	1		
4138	1	0	1	489343149	35.5
4142	0	0	1		
4146	1	0	1	1432520291	37
4151	0	0	1		
4153	1	0	1	1716723822	40.5
4155	1	1	1	339720541	35.5
4156	1	0	1	309816178	36
4158	1	1	1	312936821	35.5
4159	0	0	1		
4161	1	1	1	315381083	35.5
4162	0	0	1		
4164	0	0	1		
4166	1	0	1	427485095	35.5
4170	1	1	1	471563096	37.5
4177	0	0	1		
4179	0	0	1		
4182	1	1	1	340463922	35
4184	0	0	1		
4202	1	0	1	11813712848	37.5
4208	0	0	1		
4212	1	1	1	1258364641	36.5
4214	1	0	1	1657819354	37
4217	1	1	1	1727363248	36.5
4219	0	0	1		
4222	1	0	1	1158909676	38.5
4224	1	0	1	1020231419	36
4225	1	0	1	1654553644	37.5
4226	0	0	1		
4227	1	0	1	1803193255	37.5
4228	0	0	1		
4229	0	0	1		
4230	0	0	1		
4232	1	1	1	3161528410	38.5
4233	1	0	1	21621108629	38
4234	0	0	1		
4236	1	1	1	2601098885	38
4265	1	0	1	859116918	36
4282	0	0	1		
4283	1	1	1	1253041134	36
4288	0	0	1		
4292	0	0	1		
4297	0	0	1		
4298	1	1	1	799967978	37.5
4307	0	0	1		
4329	0	0	1		
4330	0	0	1		
4332	0	0	1		
4337	1	0	1	1100742143	33.5
4341	0	0	1		
4346	0	0	1		
4347	0	0	1		
4351	0	0	1		
4355	1	0	1	404104574	34
4358	0	0	1		
4359	1	0	0	921451109	38
4362	1	1	1	2551530139	43.5
4364	0	0	1		
4365	0	0	1		
4366	1	1	1	263685280	37.5
4368	0	0	1		
4371	0	0	1		
4373	1	0	1	527179592	34
4375	0	0	1		
4376	1	0	1	948146422	39
4378	0	0	1		
4383	0	0	1		
4391	0	0	1		
4392	1	0	1	1234331911	35
4397	1	0	1	902548581	36
4398	0	0	1		
4400	1	0	1	662480891	37.5
4403	0	0	1		
4407	0	0	1		
4412	0	0	1		
4414	0	0	1		
4418	0	0	1		
4419	0	0	1		
4421	1	1	1	3502493924	38
4424	1	0	1	1170557008	38.5
4426	0	0	1		
4428	0	0	1		
4430	0	0	1		
4431	1	0	1	843666455	38.5
4432	1	1	1	821245928	39
4436	0	0	1		
4441	0	0	1		
4442	1	1	1	3395426244	37.5
4443	1	0	1	2803480011	38
4447	0	0	1		
4451	0	0	1		
4458	0	0	1		
4460	1	1	1	2448852900	42
4463	0	0	1		
4465	1	1	1	721748827	37
4470	0	0	1		
4472	0	0	1		
4477	0	0	1		
4480	0	0	1		
4483	1	0	1	5902718208	46.5
4485	1	0	1	4475389378	46.5
4486	1	0	1	6689482705	47
4487	1	0	1	5336424591	46
4491	1	0	1	4226360594	47
4492	1	0	1	4475943907	46.5
4494	1	0	1	3577170360	47
4497	1	0	1	3613612632	44.5
4498	1	1	1	11107750728	44
4499	1	1	1	10977317890	44
4500	1	1	1	7395709204	45
4505	0	0	1		
4509	1	0	1	1781320693	44
4511	0	0	1		
4513	1	1	1	9788863784	44.5
4515	0	0	1		
4516	1	0	1	14504118994	44.5
4519	1	0	1	3815965547	44.5
4520	0	0	1		
4521	1	1	1	4531731679	44
4522	1	1	1	2264761315	44.5
4524	0	0	1		
4525	0	0	1		
4527	0	0	1		
4528	1	1	1	371348348	42
4529	1	0	1	462580640	44
4530	1	1	1	502613927	43.5
4532	1	0	1	945913317	45
4533	1	1	1	263195077	41.5
4534	1	0	1	1124189071	44
4535	1	0	1	584134210	44
4536	1	0	1	395534265	43.5
4537	1	0	1	422391326	43.5
4538	1	1	1	371863789	43.5
4540	1	1	1	907281921	46.5
4541	0	0	1		
4543	1	0	1	1999530228	49
4544	0	0	1		
4545	1	0	1	6136176143	45.5
4546	0	0	1		
4547	1	0	1	6804885551	44.5
4550	1	1	1	7734968894	46
4555	1	1	1	477541705	46
4556	1	1	1	397277387	46
4557	0	0	1		
4558	1	1	1	817237095	44
4560	0	0	1		
4562	0	0	1		
4563	0	0	1		
4564	0	0	1		
4565	1	1	1	15664085207	46
4567	1	1	1	10505535142	46
4568	1	0	1	5115539301	46.5
4569	0	0	1		
4570	1	1	1	9350839849	46
4571	1	0	1	10469848740	46
4572	1	1	1	4849077157	46
4573	1	0	1	4110187043	46.5
4575	0	0	1		
4576	0	0	1		
4577	1	1	1	2378498113	46.5
4579	1	0	1	1204281382	46
4582	0	0	1		
4585	0	0	1		
4586	0	0	1		
4588	1	0	1	4634136514	46
4589	1	0	1	239720355	55
4593	1	0	1	6334424282	46
4595	1	0	1	10780479950	47
4601	0	0	1		
4605	0	0	1		
4606	0	0	1		
4608	0	0	1		
4611	0	0	1		
4615	1	1	1	524069662	39
4628	1	1	1	752924351	38.5
4634	1	0	0	694639077	37.5
4637	0	0	1		
4639	1	1	1	539887475	39.5
4640	0	0	1		
4641	0	0	1		
4642	0	0	1		
4647	1	0	0	825811898	37.5
4658	0	0	1		
4672	0	0	1		
4673	0	0	1		
4676	0	0	1		
4677	0	0	1		
4679	1	0	1	15932385976	34
4681	0	0	1		
4682	1	0	1	16462794857	36
4683	0	0	1		
4684	0	0	1		
4685	0	0	1		
4686	1	1	1	1187538024	39
4688	0	0	1		
4689	0	0	1		
4690	0	0	1		
4691	0	0	1		
4692	0	0	1		
4695	0	0	1		
4711	0	0	1		
4718	0	0	1		
4722	0	0	1		
4726	0	0	1		
4733	1	1	1	286753948	38
4751	0	0	1		
4754	0	0	1		
4757	0	0	1		
4761	0	0	1		
4772	0	0	1		
4773	0	0	1		
4774	0	0	1		
4779	1	1	1	115935664	46
4781	1	1	1	341003144	56
4783	0	0	1		
4784	1	1	1	94176027	51
4785	1	1	1	109801070	53.5
4786	1	0	0	63839274	52.5
4787	1	1	1	246895792	51.5
4792	1	1	1	106748838	50.5
4793	1	1	0	48424770	50.5
4795	1	1	1	101504516	49
4796	1	1	1	165564803	50
4798	1	0	0	35517296	54
4799	1	0	0	40259091	60.5
4803	1	1	1	126261093	54.5
4805	0	0	1		
4810	0	0	1		
4814	1	1	1	29777168	48
4822	0	0	1		
4824	0	0	1		
4829	1	1	0	48746359	44.5
4837	1	1	1	62087297	35.5
4839	1	0	1	22150719	44.5
4840	1	1	0	26452667	45
4841	1	0	1	53248052	32.5
4842	0	0	1		
4843	1	0	0	26347388	38
4846	1	1	1	48208381	36
4847	1	0	0	27555666	37
4850	1	1	1	37513922	37.5
4852	0	0	1		
4855	0	0	1		
4859	0	0	1		
4864	1	1	1	14291446	50
4866	1	1	0	15199616	51.5
4868	1	1	0	15821707	53
4874	1	1	1	773098546	27.5
4875	0	0	1		
4876	0	0	1		
4881	0	0	1		
4885	1	0	0	24845880	38
4890	0	0	1		
4891	0	0	1		
4896	1	1	1	13433746	36
4897	1	0	1	16829384	43.5
4899	0	0	1		
4903	1	1	1	17859098	44.5
4909	1	1	1	12940563	38.5
4911	1	1	1	13338870	40.5
4914	1	0	1	10912112	44.5
4918	1	0	0	12269084	30
4919	0	0	1		
4920	1	0	0	21255474	41
4921	1	0	0	10269774	36
4922	1	1	1	9834881	41
4923	1	0	0	11480857	43
4924	1	1	1	15602566	41
4925	0	0	1		
4926	1	1	1	19404730	44.5
4927	1	1	1	26305337	34.5
4929	1	1	1	11093881	33
4930	0	0	1		
4931	1	0	1	14541968	40
4932	1	1	1	57099456	38.5
4934	1	0	1	11394747	41.5
4943	0	0	1		
4944	1	0	1	29497949	38
4947	1	0	0	13044305	33
4950	1	1	1	11524969	41.5
4952	1	1	1	21254024	49
4953	0	0	1		
4954	1	1	1	10994009	42.5
4955	1	1	1	10287695	42.5
4956	1	1	1	20910059	39.5
4957	1	0	0	10509369	44
4959	1	0	1	24773645	36
4972	1	1	1	21645019	57
4973	1	0	0	20740690	53.5
4974	1	0	0	20595339	53.5
4995	1	0	0	18876459	46
4999	1	1	1	17465713	52
5002	1	1	0	21811286	61.5
5003	1	1	1	22408324	47.5
5004	1	1	0	25142625	64
5005	1	1	0	20525926	61.5
5007	1	1	1	20514950	40
5011	1	0	1	13340275	49.5
5012	1	0	0	13098230	48.5
5016	1	1	1	45256060	47.5
5017	1	0	0	36143178	50.5
5022	1	1	1	45986477	45
5025	1	1	1	72791559	43
5028	1	0	0	32551844	50.5
5037	1	1	1	32477579	46
5039	1	1	1	64944307	37
5041	1	1	1	25052579	50
5044	1	0	1	29070048	55
5046	1	1	1	35793893	52.5
5047	1	0	0	104225103	43.5
5050	1	0	0	53344113	49.5
5052	0	0	1		
5053	1	0	1	36368111	50.5
5054	1	0	1	25735522	49
5057	1	0	0	27452817	49.5
5059	1	1	1	45344716	46.5
5061	1	1	1	40425233	49.5
5062	1	1	1	39455382	47
5064	0	0	1		
5065	1	0	0	12587437	50
5066	1	1	1	31517640	48
5067	1	1	1	41424979	47.5
5068	1	1	1	40482634	48
5073	0	0	1		
5074	1	1	1	34726155	49
5075	1	0	1	36854083	47.5
5076	1	1	1	35181384	49
5077	1	1	1	35121705	46
5078	1	1	0	29236174	47.5
5079	1	0	1	37601233	50.5
5081	1	0	1	22410860	49
5082	1	1	1	44213430	48.5
5083	1	1	1	46501943	49
5087	1	0	1	28114151	51.5
5088	1	1	0	31644316	50
5093	1	0	0	36018796	47
5094	0	0	1		
5098	1	1	1	24628719	49
5101	1	0	1	54474545	49
5105	0	0	1		
5111	1	1	0	34178275	51.5
5113	1	0	1	39215537	42
5116	1	0	1	47408176	50.5
5127	1	1	1	49057912	47.5
5128	1	1	0	38608882	47
5130	0	0	1		
5132	1	0	0	38475127	48
5141	1	1	1	41547533	48
5142	1	1	1	41713438	48
5143	0	0	1		
5147	1	1	1	39444728	52
5149	0	0	1		
5158	1	0	1	36097259	48.5
5162	1	0	0	22510906	65.5
5163	1	0	1	25983480	57
5173	1	1	0	39575170	53
5174	1	0	1	31902097	50.5
5180	1	0	1	40976380	41.5
5193	0	0	1		
5194	1	0	1	52425457	47.5
5204	0	0	1		
5207	1	1	1	38838249	48.5
5208	1	1	1	16328170	45
5210	1	1	1	27469088	53
5211	1	0	0	22257902	51.5
5212	1	0	0	17725949	50.5
5217	1	1	0	27110854	46.5
5221	1	0	0	43115145	46
5224	0	0	1		
5251	0	0	1		
5261	0	0	1		
5270	1	1	1	21122121	53.5
5272	1	0	1	40892155	55.5
5278	1	0	0	26750114	59
5286	1	1	1	40594534	62
5288	1	1	0	21142622	67
5297	0	0	1		
5308	0	0	1		
5314	0	0	1		
5315	1	0	1	51535223	56
5319	1	1	1	47742868	50.5
5321	1	1	1	32382086	51
5322	1	1	1	79672774	51
5323	1	1	1	174580441	46.5
5325	1	1	1	44783910	57.5
5327	1	0	1	41079574	58.5
5331	1	0	1	39456311	55
5333	0	0	1		
5334	1	1	1	51157739	58.5
5338	0	0	1		
5340	0	0	1		
5341	1	1	1	64257471	49.5
5343	1	0	0	32345193	46
5346	0	0	1		
5353	1	1	1	50336542	46
5364	1	1	1	31948515	53
5365	0	0	1		
5370	1	0	0	46332505	50.5
5374	1	0	0	78761151	47.5
5379	0	0	1		
5382	0	0	1		
5383	1	1	1	88362316	46
5384	0	0	1		
5402	0	0	1		
5411	1	0	0	21757718	64
5412	1	0	0	21147027	59
5414	1	0	1	39152147	50.5
5417	1	1	1	22653840	63
5418	1	1	1	19510785	56
5432	1	0	0	19040726	56
5433	0	0	1		
5435	0	0	1		
5440	1	0	0	22180604	56.5
5454	1	1	1	40901279	49
5460	1	1	1	44202764	55
5464	1	0	0	60479243	49.5
5465	0	0	1		
5466	1	1	0	109659959	36.5
5467	1	1	1	59632073	51.5
5474	1	0	0	25022896	51.5
5475	0	0	1		
5476	1	1	1	18701459	33.5
5477	1	1	0	44296904	32
5478	1	1	1	14517464	38.5
5479	1	0	0	15987543	34.5
5480	1	1	1	13536483	38.5
5481	1	1	0	13837356	50
5482	1	1	1	15731258	33
5483	1	0	0	23769677	53.5
5486	1	1	0	24170369	
5488	1	0	0	9350460	54
5489	1	0	0	9779565	34
5490	1	0	0	10358530	58.5
5491	1	0	0	11040879	55.5
5492	1	0	0	10833602	30.5
5493	1	1	0	10688049	56
5495	1	0	0	13145376	37
5498	0	0	1		
5499	1	1	1	67697773	49
5501	1	1	1	27474893	46.5
5503	1	0	1	33535945	50.5
5506	0	0	1		
5507	1	1	1	69556834	48
5508	1	0	0	57435926	47.5
5514	1	1	0	37957430	48
5515	1	1	1	46868008	48
5516	1	1	1	41928875	47.5
5518	1	1	1	38083922	48
5520	1	1	1	37029846	55
5523	1	1	0	46885457	49
5529	0	0	1		
5530	1	1	1	47226204	49.5
5531	0	0	1		
5533	0	0	1		
5535	1	1	1	22884177	67.5
5537	1	1	1	23589173	60.5
5539	1	1	0	47714899	41.5
5541	1	1	1	19915574	52
5543	0	0	1		
5544	1	1	1	42028567	48.5
5547	1	1	1	41255257	47.5
5548	1	1	1	37667761	56.5
5551	1	1	1	23227315	47
5554	1	0	1	30717177	57.5
5570	1	1	1	178415830	37.5
5579	0	0	1		
5580	1	1	1	45364993	50
5581	0	0	1		
5595	1	0	0	32600824	55
5597	1	0	0	43301991	50.5
5598	0	0	1		
5599	1	1	1	40340814	50.5
5601	1	0	1	36388665	53
5610	0	0	1		
5619	1	0	0	20813371	53.5
5621	1	0	1	11701415	44
5627	1	1	1	47952042	50.5
5630	1	1	1	51778905	51.5
5632	1	1	1	37463246	57.5
5636	1	1	1	50755151	53.5
5639	1	0	0	57876726	57.5
5643	1	1	1	33668918	55.5
5656	1	0	1	41297378	57
5657	1	0	0	24962918	55
5659	1	0	1	33504997	59.5
5660	1	1	1	38003648	57.5
5661	1	1	1	34011430	60
5663	1	1	0	33318864	59.5
5664	1	0	1	32854833	59.5
5665	1	0	1	31929425	57
5666	1	0	1	35795895	59.5
5667	1	0	0	33648436	60.5
5670	1	1	1	35112104	58
5671	1	1	1	33820697	59.5
5674	1	0	0	19219	22
5677	1	0	1	34152029	58
5678	1	1	0	31671391	57.5
5679	1	1	1	34770956	58
5680	1	1	0	32549649	58
5681	1	0	0	33890200	56
5684	1	1	1	27764161	55.5
5689	1	1	1	35416496	57.5
5691	1	0	1	64114264	43
5692	1	0	1	41233446	47.5
5693	1	1	1	89937456	51.5
5694	1	1	1	26228029	46
5695	1	0	1	20726896	46.5
5697	1	0	1	31536644	45
5698	1	1	0	21157315	52
5699	1	1	1	67823889	53.5
5702	1	0	1	55332974	44
5705	1	0	1	32520418	53
5707	1	0	0	20548494	49
5710	0	0	1		
5715	1	0	1	32248164	56.5
5718	1	0	0	30844810	58
5722	1	0	1	185424976	33
5723	0	0	1		
5728	1	0	1	54332460	38
5730	0	0	1		
5732	0	0	1		
5741	1	1	1	13756513	49.5
5742	1	1	1	9777924	54.5
